INT	INT	INT	INT	INT	INT	INT	STRING
组合ID（从小到大，优先级依次提高）	组合名	需求牌型1	需求牌型2	需求牌型3	强化属性ID	强化数值	特效
9	任意顺	-1	-1	-1	94	80	
10	任意刻	-1	-1	-1	94	120	
11	任意将	-1	-1	-1	94	40	
93	5条将	35	35	-1	94	50	
94	5筒将	45	45	-1	94	50	
95	5万将	55	55	-1	94	50	
96	箭将	3	3	-1	94	60	
97	风将	2	2	-1	94	60	
98	箭刻	3	3	3	94	150	
99	风刻	2	2	2	94	150	
100	条123	31	32	33	8	30	
101	条456	34	35	36	8	30	
102	条789	37	38	39	8	30	
103	筒123	41	42	43	8	30	
104	筒456	44	45	46	8	30
105	筒789	47	48	49	8	30
106	万123	51	52	53	8	30
107	万456	54	55	56	8	30
108	万789	57	58	59	8	30
109	东刻	15	15	15	149	8
110	南刻	16	16	16	149	8
111	西刻	17	17	17	149	8
112	北刻	18	18	18	149	8
113	中刻	19	19	19	149	8
114	发刻	20	20	20	149	8
115	白刻	21	21	21	149	8
